
 DAY: 1 
              x           y   kg  set_up_time  last_day  yet_postponed  customer_label
207  122.098885  155.384662  545          180         4          False             122
209  121.114088  158.070474    8           53         4          False             123
213  121.548289  157.236163  458          165         4          False             124
214  121.181899  158.997995  248          220         4          False             125
216  123.070247  158.462428  222          215         4          False             126
217  121.441577  158.150754    6           57         4          False             127
218  120.845663  159.179258  509          218         4          False             128
221  120.848593  155.501176    3           45         4          False             129
223  122.063791  156.082432    4           18         4          False             130
227  129.613654  157.901759    6           33         4          False             131
228  127.644913  159.100059  575          162         4          False             132
229  125.499709  157.627391    3           41         4          False             133
232  125.145504  155.278795    2           27         4          False             134
234  129.052840  157.026015    1           22         4          False             135
240  129.627324  156.259114  421          122         4          False             136
242  128.485382  155.550466    1           52         4          False             137
246  131.285450  158.342616    5           19         4          False             138
248  135.712092  156.384617  528          174         4          False             139
250  137.096763  158.104146  266          206         4          False             140
251  135.814343  158.297669  537          143         4          False             141
252  140.336428  159.955008  488          223         4          False             142
254  148.894768  157.786123  559          157         4          False             143
257  108.930230  164.515336    7           31         4          False             144
259  110.501543  163.357327  477          133         4          False             145
260  116.882632  164.192533  282          246         4          False             146
261  115.040159  160.361860  281          237         4          False             147
 DAY: 2 
              x           y   kg  set_up_time  last_day  yet_postponed  customer_label
0    117.920268  162.520891    7           28         4          False               1
1    119.457705  161.073031    1           33         4          False               2
2    119.198161  161.768399  236          109         4          False               3
3    124.277250  164.775910    9           48         4          False               4
4    124.153241  160.430566  319          223         4          False               5
5    124.205309  164.443022  510          264         4          False               6
6    120.713909  164.272886    2           30         4          False               7
7    120.019421  164.995252    2           31         4          False               8
8    121.618717  160.722150    1           25         4          False               9
9    120.142437  163.077407    5           57         4          False              10
10   122.574777  162.812672    7           42         4          False              11
11   121.648958  164.943068  519          124         4          False              12
12   123.454353  162.475703    8           15         4          False              13
13   121.462852  160.046730  378          265         4          False              14
14   123.637101  163.045711  522          164         4          False              15
15   129.774836  164.700945    2           26         4          False              16
16   126.912233  163.844610    6           26         4          False              17
17   126.490432  164.368097    6           42         4          False              18
18   129.663673  160.605913    6           15         4          False              19
19   128.348138  163.634069  573          241         4          False              20
20   127.421535  164.776589    3           16         4          False              21
21   129.109497  164.322086    5           35         4          False              22
22   129.468310  161.849807  438          140         4          False              23
23   125.975260  162.011963  235          117         4          False              24
24   127.116859  163.384920    2           21         4          False              25
25   125.590946  164.550778    8           32         4          False              26
26   131.241704  163.135705  318          180         4          False              27
27   133.608990  163.804387    8           30         4          False              28
28   135.803663  160.567873  493          183         4          False              29
29   138.109927  160.062609    2           52         4          False              30
30   135.441532  162.653329    6           53         4          False              31
31   141.005487  164.139187  458          155         4          False              32
32   119.698817  169.616895    5           47         4          False              33
33   117.901905  165.249935  347          109         4          False              34
34   120.465643  167.033220  572          246         4          False              35
35   127.754121  165.423518    9           27         4          False              36
36   125.766530  169.369485    3           20         4          False              37
37   134.354812  167.013534    1           20         4          False              38
38   134.125686  169.612039  476          226         4          False              39
39   134.897739  167.863432  304           82         4          False              40
40   133.425460  168.268525    8           45         4          False              41
41   132.682711  168.366702    1           17         4          False              42
42   136.033568  166.465462    3           58         4          False              43
43    93.682158  174.809324    5           48         4          False              44
44   108.696962  172.474820    4           37         4          False              45
45   106.224223  170.191533    4           39         4          False              46
46   117.663571  173.023208  505          256         4          False              47
47   119.509803  172.340308  453           78         4          False              48
48   122.374418  173.353971    5           17         4          False              49
49   128.288313  172.223712  236          248         4          False              50
50   132.689290  170.235489  309          227         4          False              51
51    89.939531  176.894394    6           46         4          False              52
52   109.714715  179.099364  470          192         4          False              53
53   112.414535  178.319522    1           48         4          False              54
54   127.784686  175.820293    2           27         4          False              55
55   127.692206  177.033387  518          159         4          False              56
56   144.625163  175.551568    3           56         4          False              57
57    88.347455  182.789036    5           25         4          False              58
58    97.030909  184.850580  592          257         4          False              59
59   104.853667  181.844122  315          117         4          False              60
60   116.039461  183.143686  310          176         4          False              61
61   142.303290  182.653335  249          235         4          False              62
62   150.395552  180.021252    9           54         4          False              63
63    95.557086  186.861246    7           27         4          False              64
64   114.908474  186.732405  496          203         4          False              65
65   139.133103  186.529791  483           69         4          False              66
66   136.976858  186.049281  515          172         4          False              67
67   145.405224  187.688156    4           54         4          False              68
68    64.735852  200.695873    4           15         4          False              69
69    90.500525  203.927774    9           56         4          False              70
253  120.713909  164.272886    2           30         4          False              71
254  124.205309  164.443022  510          264         4          False              72
255  124.153241  160.430566  319          223         4          False              73
256  124.277250  164.775910    9           48         4          False              74
257  119.198161  161.768399  236          109         4          False              75
258  119.457705  161.073031    1           33         4          False              76
259  117.920268  162.520891    7           28         4          False              77
70    57.757901   67.824817  382          119         5          False              78
71    53.051361   70.835001  285          179         5          False              79
72   154.341998  109.085160    5           32         5          False              80
73   119.360558  110.110225    8           59         5          False              81
74   133.885303  112.838471    2           30         5          False              82
75   168.865314  110.698920    5           43         5          False              83
76   109.058605  119.528801  349          189         5          False              84
77   132.255128  117.448573  364          125         5          False              85
78   140.918609  124.831090    4           51         5          False              86
79   160.224484  120.954465    4           47         5          False              87
80    97.370604  128.680214    3           19         5          False              88
81   116.074495  125.144744  375          176         5          False              89
82   137.013664  125.056410    3           33         5          False              90
83   140.393612  126.289149    2           36         5          False              91
84    95.128678  131.280420  469          111         5          False              92
85   130.918879  132.875087  271          184         5          False              93
86   146.297403  133.737773    5           16         5          False              94
87   110.588887  136.251530    9           34         5          False              95
88   110.732545  139.613326    7           40         5          False              96
89   118.756923  136.514614    3           31         5          False              97
90   121.539939  139.139437    2           56         5          False              98
91   123.014217  138.675411    3           38         5          False              99
92   130.903636  138.752884  328          157         5          False             100
93   130.054251  139.570929  479          135         5          False             101
94   135.971397  136.701128    7           43         5          False             102
95   135.318286  136.359186    9           27         5          False             103
96   100.308604  141.056536    1           56         5          False             104
97   112.913214  141.354960  442          261         5          False             105
98   122.287238  142.810592    1           18         5          False             106
99   128.270544  140.257893  493          109         5          False             107
100  125.162619  144.773712    8           52         5          False             108
101  125.401958  144.993698    8           20         5          False             109
102  139.319497  141.330480  560          254         5          False             110
103  106.209548  147.753157  359           76         5          False             111
104  120.492097  146.330631  455          137         5          False             112
105  125.882810  146.483311  550          103         5          False             113
106  125.971134  149.790316  595          204         5          False             114
107  129.764956  145.208236    2           40         5          False             115
108  131.316947  148.448245    8           29         5          False             116
109  131.463011  146.301056    9           46         5          False             117
110  134.453550  149.315731    6           57         5          False             118
111  138.611511  148.147864    1           24         5          False             119
112  139.870932  149.617766  315           82         5          False             120
113  137.746603  148.267878  396           83         5          False             121
114  116.403302  150.911840  512           69         5          False             122
115  117.822529  154.901164    4           34         5          False             123
116  117.574722  154.223773  495          109         5          False             124
117  115.807392  150.463943  539           78         5          False             125
118  119.110402  152.051605    5           19         5          False             126
119  116.776410  154.334542  554           74         5          False             127
120  119.127369  152.830652    7           28         5          False             128
121  116.678116  151.667978  291           81         5          False             129
122  115.958845  151.786736  485          226         5          False             130
123  121.702130  152.799550  593          107         5          False             131
124  123.931724  154.164776    5           35         5          False             132
125  124.512621  153.144200    6           15         5          False             133
126  122.761470  150.540321  297          182         5          False             134
127  121.792900  153.816703  415          130         5          False             135
128  120.220170  154.684038    9           29         5          False             136
129  126.870180  152.014082  573          106         5          False             137
130  125.204336  152.583795  251           73         5          False             138
131  125.430116  153.481697    9           28         5          False             139
132  133.127932  150.984360  500          238         5          False             140
133  134.167573  152.529125    5           35         5          False             141
134  132.253069  154.957636    1           57         5          False             142
135   99.816337  158.680262  223          180         5          False             143
136  108.567847  159.672172    9           39         5          False             144
137  106.915186  156.446326    6           36         5          False             145
138  112.159047  155.725117  491          229         5          False             146
139  110.943183  159.224546  581          176         5          False             147
140  113.445395  155.600026    2           52         5          False             148
141  114.758384  158.602195  544          118         5          False             149
142  114.883448  159.247215  473          251         5          False             150
143  114.179166  157.679197    3           37         5          False             151
144  112.174018  157.794247    8           21         5          False             152
145  117.980151  158.852183    5           29         5          False             153
146  118.221608  157.502286    7           26         5          False             154
147  116.459728  159.854410    4           40         5          False             155
148  118.874853  157.297014    7           53         5          False             156
 DAY: 3 
              x           y   kg  set_up_time  last_day  yet_postponed  customer_label
0    119.900786  155.149244    7           23         5          False               1
1    119.475774  159.774919    3           28         5          False               2
2    118.269547  155.019360  375           63         5          False               3
3    118.348727  159.132286  227          259         5          False               4
4    115.862701  156.441341  287          234         5          False               5
5    124.872138  159.506836  284          154         5          False               6
6    123.459088  158.535160  580          221         5          False               7
7    120.293037  159.826413  496          188         5          False               8
8    124.404859  159.799396  484          110         5          False               9
9    123.602872  158.894695    5           28         5          False              10
10   120.631640  156.829467  497           90         5          False              11
11   124.672652  159.032173    9           20         5          False              12
12   123.430358  156.884358    7           58         5          False              13
13   121.792521  156.015723    9           19         5          False              14
14   121.048756  157.619640  315          254         5          False              15
15   121.525493  156.280800  417          112         5          False              16
16   124.598031  159.137876  224          116         5          False              17
17   124.167417  157.661587  366          153         5          False              18
18   126.765895  155.355963    2           46         5          False              19
19   125.367890  158.587029    3           37         5          False              20
20   129.442114  156.455493    7           44         5          False              21
21   125.300965  155.538752    1           18         5          False              22
22   129.343496  157.256086  414          131         5          False              23
23   128.256851  157.755027    6           53         5          False              24
24   129.388293  158.142513    6           20         5          False              25
25   128.333387  157.570726    5           20         5          False              26
26   125.222909  159.578013    1           19         5          False              27
27   127.636404  155.390682  412          178         5          False              28
28   129.230586  159.051879    9           27         5          False              29
29   132.592365  157.936093    2           22         5          False              30
30   132.565384  155.421997  244          120         5          False              31
31   138.015369  159.699743    6           36         5          False              32
32   141.038634  158.230798  558          209         5          False              33
33    89.874850  161.011306  378          194         5          False              34
34   100.920568  162.607874    5           39         5          False              35
35   106.875754  162.705434    7           57         5          False              36
36   117.654558  162.666543    8           22         5          False              37
37   118.445680  162.053031  228          100         5          False              38
38   115.324019  162.772837    1           29         5          False              39
39   115.888376  164.647014  470          203         5          False              40
40   116.018900  160.575320  400           73         5          False              41
41   124.731721  164.606177    9           51         5          False              42
42   121.793314  163.013310    6           18         5          False              43
43   122.208875  160.784401    8           46         5          False              44
44   124.369173  160.827759  543          189         5          False              45
45   122.405211  164.016902    1           15         5          False              46
46   122.483579  164.771360  417          252         5          False              47
47   122.396982  164.508927  483          242         5          False              48
48   121.936644  160.140052  553          104         5          False              49
49   121.404143  162.199246  575           91         5          False              50
50   122.012390  161.164593  585          253         5          False              51
51   121.100018  161.681610  439          132         5          False              52
52   120.788251  161.800006  265          194         5          False              53
53   121.037383  160.465054  305          205         5          False              54
54   123.646501  160.815904  366          210         5          False              55
55   123.661163  162.116060  298          210         5          False              56
56   129.211399  164.567003    4           54         5          False              57
57   126.301839  162.915212  404          224         5          False              58
58   125.440878  162.178018    4           23         5          False              59
59   126.413866  162.126002  469          109         5          False              60
60   126.076809  163.280234    3           37         5          False              61
61   128.960022  164.869652    5           55         5          False              62
62   127.233691  163.965387    9           30         5          False              63
63   127.277999  164.972732  387          164         5          False              64
64   134.800295  162.515914  346          102         5          False              65
65   130.928021  161.165915    1           37         5          False              66
66   137.671581  163.898696  475          225         5          False              67
67   138.637273  164.464182  522          209         5          False              68
68   105.445676  168.968966  326          259         5          False              69
69   113.320793  166.641439  373          232         5          False              70
70   117.907750  167.021341  246          240         5          False              71
71   126.256021  169.352649  296          171         5          False              72
72   128.095845  167.562701  554          168         5          False              73
73   127.710202  169.862461  200          161         5          False              74
74   133.806832  167.522751    5           39         5          False              75
75   131.511445  168.950897  473          193         5          False              76
76   130.796223  165.623860  404           95         5          False              77
77   139.029193  168.145815    3           45         5          False              78
78   113.775365  174.633175  343          111         5          False              79
79   110.414888  171.762599    9           19         5          False              80
80   118.461971  174.696452    4           19         5          False              81
81   121.931358  171.279641    4           42         5          False              82
82   128.511548  173.398664    4           28         5          False              83
83   126.800412  173.754252  264           81         5          False              84
84   133.886804  171.523866    4           32         5          False              85
85   130.888693  173.202866    6           59         5          False              86
86   139.412509  172.859101  232          233         5          False              87
87   135.744668  171.897433  333          119         5          False              88
88   105.507396  177.560582  267           96         5          False              89
89   115.653170  178.989406  556          210         5          False              90
90   124.847548  175.360191    7           20         5          False              91
91   125.789762  176.611338    2           22         5          False              92
92   134.637479  175.969756  273          137         5          False              93
93   136.064402  176.267391    1           17         5          False              94
94   142.573871  176.018075  431          269         5          False              95
95   143.514013  179.198299    6           47         5          False              96
96   140.182687  179.984928  274          233         5          False              97
97   102.208582  181.680517    7           32         5          False              98
98   124.979518  180.608324  320          216         5          False              99
99   143.519032  183.263410    6           41         5          False             100
100  174.979600  182.514871  436          213         5          False             101
101  110.996142  186.182877    6           19         5          False             102
102  121.646973  186.501592  580          206         5          False             103
103  136.154854  194.589545  230           98         5          False             104
104  116.843230  114.022885  460          236         5          False             105
105  117.647059  112.417660    3           15         5          False             106
106  125.025436  112.552942  300          227         5          False             107
107  115.838045  118.372573    4           15         5          False             108
108  129.827277  118.218138    5           51         5          False             109
109  162.681645  119.742235    5           30         5          False             110
110  167.819341  115.372942    3           32         5          False             111
111   83.906914  120.804682    2           58         5          False             112
112   99.499791  124.172945    8           33         5          False             113
113  122.708413  121.308836    6           29         5          False             114
114  126.015479  122.648297  251          163         5          False             115
115  142.915683  122.948652  516          174         5          False             116
116   96.885662  128.793145  359          191         5          False             117
117  120.292460  127.332389    4           29         5          False             118
118  130.275746  126.094981  376          178         5          False             119
119  135.105962  125.828937    8           50         5          False             120
120  141.895587  126.951378    5           58         5          False             121
121  144.431443  129.587541  365          116         5          False             122
122  147.907271  127.085084    6           27         5          False             123
123  102.485641  130.075363  407          109         5          False             124
124  102.589864  132.831196  400          267         5          False             125
125  102.272366  132.797240  598          137         5          False             126
126  100.534033  130.223469  533          178         5          False             127
127  102.764060  133.552695    6           39         5          False             128
128  100.357031  133.802286  408          244         5          False             129
129  119.734482  134.376064  584          209         5          False             130
130  122.466299  130.189580    7           53         5          False             131
131  122.780318  130.976268    1           21         5          False             132
132  120.244403  133.623436  404          231         5          False             133
133  126.221508  134.856070    4           26         5          False             134
134  128.320367  133.340354  565          122         5          False             135
135  138.743659  132.067378    5           25         5          False             136
136  143.357229  132.847542  473           61         5          False             137
137   91.243421  138.601595  561          216         5          False             138
138   97.729921  139.783664  563          185         5          False             139
139  123.000065  137.559709  463          226         5          False             140
