
 DAY: 1 
              x           y   kg  set_up_time  last_day  yet_postponed  customer_label
106  122.288989  148.326613  449          224         4          False              52
108  129.815524  147.066295  361          269         4          False              53
111  126.261506  147.408520    7           16         4          False              54
114  134.893846  146.249773    4           34         4          False              55
115  131.387849  145.886976  345          133         4          False              56
117  138.104711  146.261199  370           95         4          False              57
120  140.472262  148.960997  271          155         4          False              58
122  100.864949  152.939939    8           40         4          False              59
123  109.317713  151.711161  593          113         4          False              60
125  107.505952  150.388569    4           19         4          False              61
127  118.183834  151.253742  310          243         4          False              62
128  116.004816  151.984964  204          264         4          False              63
129  119.971691  154.109137    7           42         4          False              64
130  115.430507  150.655053    6           18         4          False              65
133  117.215710  153.578817    6           33         4          False              66
136  118.106139  152.878063    6           26         4          False              67
137  117.461839  152.856562  365           63         4          False              68
139  117.811997  153.292620    6           22         4          False              69
140  118.058535  151.910385    2           53         4          False              70
141  119.391165  154.480783  224          206         4          False              71
142  115.889131  153.628145    1           20         4          False              72
145  115.837060  152.674504  340          128         4          False              73
146  119.676835  150.645176    5           21         4          False              74
148  115.500864  151.152814  304           72         4          False              75
149  117.298678  153.424616  356           89         4          False              76
151  122.096195  154.714929    7           55         4          False              77
152  120.847123  154.852889  295          263         4          False              78
154  123.257598  151.508117  503          222         4          False              79
155  121.364431  153.603569    7           35         4          False              80
156  121.610737  150.749716    5           58         4          False              81
157  123.734510  151.831799  510           76         4          False              82
158  124.776698  153.727796    1           43         4          False              83
161  124.817126  153.895987  476          118         4          False              84
162  129.061485  151.264427    6           38         4          False              85
166  132.453192  151.177402  482          108         4          False              86
168  133.652512  150.609555    7           18         4          False              87
169  131.117703  154.169640    6           39         4          False              88
170  133.697177  152.847703    2           56         4          False              89
174  135.628634  150.538521  440          160         4          False              90
175  135.400406  151.310183  404          185         4          False              91
177  140.815466  152.432601    1           35         4          False              92
178  141.375116  152.913297    7           31         4          False              93
184  109.164622  156.143960  521          181         4          False              94
185  110.099860  158.302783    1           47         4          False              95
187  110.817097  156.855248    2           35         4          False              96
188  112.977307  159.416709  473          218         4          False              97
189  110.246021  159.720273    4           58         4          False              98
191  114.892754  159.614781    5           41         4          False              99
192  112.960143  155.935817    1           35         4          False             100
195  115.694620  159.060045  505          125         4          False             101
196  116.480202  158.204949  571          144         4          False             102
197  117.396409  155.526428  465          226         4          False             103
198  115.329108  157.107106    3           50         4          False             104
199  115.669162  155.836846  382           88         4          False             105
200  118.784568  159.466369  496          163         4          False             106
203  119.436718  155.594855    9           18         4          False             107
204  118.941690  158.658698    6           32         4          False             108
206  117.199945  159.403356    3           46         4          False             109
207  115.540557  158.203554  255          231         4          False             110
208  116.025936  156.154644  226           61         4          False             111
209  116.792126  157.854638    1           59         4          False             112
211  118.861515  156.846670    6           20         4          False             113
220  123.540218  159.741917    8           31         4          False             114
222  124.932544  159.487614    8           42         4          False             115
224  121.549602  156.087812    5           57         4          False             116
227  122.138131  155.948954    6           57         4          False             117
229  124.019809  156.964689    2           29         4          False             118
230  120.429283  157.394747    5           58         4          False             119
231  123.390748  158.907043  589          215         4          False             120
232  120.987671  156.939684    8           54         4          False             121
233  120.624374  157.070582  314          223         4          False             122
235  124.059188  158.328620    1           31         4          False             123
238  126.409343  158.764566  264          141         4          False             124
242  126.284738  158.432717  384          104         4          False             125
244  129.130613  156.057175    6           41         4          False             126
245  126.849506  155.008600    2           44         4          False             127
247  125.527406  157.108113    4           49         4          False             128
248  129.164698  156.662245  248          262         4          False             129
249  128.267000  155.648517    4           20         4          False             130
250  125.129584  155.793394  591          195         4          False             131
252  125.196162  156.115081    2           55         4          False             132
254  128.035358  157.779144  271          236         4          False             133
257  128.764209  157.687512  484          158         4          False             134
258  127.225330  159.937444  577          250         4          False             135
261  131.004175  157.488241  389          125         4          False             136
262  134.669632  157.429345  491          173         4          False             137
264  133.113814  158.019916  446          178         4          False             138
267   90.393841  160.362448  221          219         4          False             139
268  100.225297  164.312382  414          227         4          False             140
269  106.780460  162.579972    8           57         4          False             141
270  109.726376  163.286143  440          192         4          False             142
271  109.013525  164.513207    9           51         4          False             143
272  111.302392  162.987926    9           18         4          False             144
273  111.036658  164.667481    7           16         4          False             145
274  119.651970  162.659188    9           21         4          False             146
275  115.720635  160.211633    2           17         4          False             147
276  117.423730  160.638039  495          207         4          False             148
277  115.105065  164.193558  538          220         4          False             149
279  118.002667  163.160771  550          125         4          False             150
280  119.959724  160.209530  589          232         4          False             151
281  119.241314  163.400409  480          263         4          False             152
