
 DAY: 1 
              x           y   kg  set_up_time  last_day  yet_postponed  cell     index  customer_label
122  119.509600  163.709014    6           38         5          False  1367  0.934714              69
63   116.427012  151.043654    5           23         5          False  1283  0.909848              70
99   123.747052  157.560718  329           81         5          False  1326  0.894499              71
61   118.494932  151.661939    5           33         5          False  1283  0.870878              72
67   119.514239  151.787294    5           34         5          False  1283  0.866981              73
139  123.064358  161.919882  408           78         5          False  1368  0.866161              74
100  122.668679  156.402198  482          125         4          False  1326  0.866002              75
105  126.190754  159.579527  305          105         5          False  1327  0.865642              76
177  139.617324  175.064000    9           43         4          False  1497  0.846866              77
59   115.778849  150.870761    9           40         5          False  1283  0.843599              78
103  121.522993  156.769795  357          128         4          False  1326  0.843555              79
64   119.549213  150.237607  316           96         4          False  1283  0.836500              80
34   124.641670  144.310018    6           26         4          False  1200  0.835893              81
45   120.744239  146.337003    6           25         5          False  1242  0.826193              82
69   120.791679  152.881617  427          128         4          False  1284  0.817233              83
85   116.985750  156.469530    7           24         5          False  1325  0.814629              84
92   117.617965  155.069786    9           26         5          False  1325  0.804777              85
173  129.166660  174.981231    5           39         5          False  1453  0.803016              86
60   117.380880  151.573955  212          104         4          False  1283  0.795082              87
91   119.348993  157.030651    7           31         5          False  1325  0.780148              88
56   105.316638  150.104316    6           31         4          False  1281  0.778989              89
70   121.797365  150.745450  272           87         5          False  1284  0.773361              90
57   109.849461  152.879854    8           34         4          False  1281  0.765817              91
145  129.532139  162.060544  266           91         5          False  1369  0.764892              92
102  123.586735  156.934703  372          107         5          False  1326  0.748219              93
106  128.503414  155.644725  249          126         5          False  1327  0.747215              94
151  127.951422  160.351157  286          123         4          False  1369  0.739177              95
40   112.543097  146.946538    7           43         4          False  1240  0.730719              96
80   140.395988  153.372963    8           24         5          False  1288  0.726967              97
31   110.435305  140.543389    7           33         4          False  1198  0.698341              98
178  143.868434  176.955034    8           35         4          False  1498  0.681860              99
175  126.814332  178.363519  223           77         4          False  1495  0.664552             100
143  122.978860  163.430173  347          109         5          False  1368  0.662030             101
32   120.295821  140.548794    8           15         5          False  1200  0.660506             102
76   133.627347  153.615809  243          139         4          False  1286  0.628723             103
125  117.981727  163.155801  417           90         5          False  1367  0.610674             104
52   139.338964  145.392547  462           73         4          False  1245  0.603085             105
58   108.706176  153.211205    6           27         5          False  1281  0.591231             106
20   140.127108  127.091679    9           18         4          False  1078  0.577480             107
118  118.357739  162.987562  427          121         4          False  1367  0.573261             108
19   141.941338  125.624261    7           22         4          False  1078  0.562670             109
42   115.611163  149.421606  469           71         5          False  1241  0.550396             110
96   120.627293  155.024916  246          172         4          False  1326  0.514332             111
170  133.256843  166.947082  232          120         5          False  1412  0.501429             112
184  125.934761  184.536059  420           67         4          False  1537  0.489539             113
38   131.496425  142.833094    6           24         4          False  1202  0.483934             114
108  131.828423  157.870020  323          153         5          False  1328  0.482046             115
192  127.385519  194.831000    6           35         4          False  1621  0.457814             116
82   106.013135  155.063752  360          101         4          False  1323  0.443690             117
48   128.667076  147.113423  276          133         5          False  1243  0.431447             118
71   129.160923  150.896979  331          158         5          False  1285  0.416077             119
152  126.681610  160.725340  434          147         5          False  1369  0.390351             120
37   132.809597  142.519688    8           17         5          False  1202  0.385707             121
74   132.741899  152.192921  377          159         5          False  1286  0.371321             122
26   136.984442  130.414705    6           22         4          False  1119  0.367699             123
55   100.586547  151.054956  201           69         5          False  1280  0.361841             124
29   112.398209  136.510548    6           20         4          False  1156  0.357376             125
17   137.202058  128.909010    7           22         5          False  1077  0.343026             126
167  112.368670  165.599190  238           80         4          False  1408  0.325502             127
66   115.652583  151.857115  349          173         5          False  1283  0.325297             128
157  134.801959  160.302612  259          136         5          False  1370  0.323912             129
43   124.050818  145.335051  292          168         5          False  1242  0.320798             130
190  117.333489  185.846644    5           20         5          False  1577  0.295750             131
154  128.048138  164.284574  222          173         4          False  1369  0.294586             132
135  124.775113  162.475334  220          167         5          False  1368  0.280109             133
130  120.682774  160.699263  466          167         5          False  1368  0.280109             134
28   112.549309  137.574205    6           17         5          False  1156  0.270928             135
39   106.175008  145.212212  217          134         4          False  1239  0.265041             136
166  105.014608  169.731579    9           43         5          False  1407  0.261551             137
79   139.800306  152.695987  472          155         4          False  1287  0.259727             138
117  117.880080  160.003505  207          147         5          False  1367  0.255476             139
41   119.824051  146.562874  224          158         5          False  1241  0.244443             140
3    117.658687  113.243667  235           87         4          False   947  0.234779             141
5    147.985588  111.187411    7           19         4          False   953  0.234046             142
81    85.836148  158.267152    7           35         5          False  1319  0.225454             143
9    116.549011  121.554504    6           30         5          False  1031  0.213842             144
15   117.641702  125.775013    5           29         5          False  1073  0.211333             145
2    175.471717  107.719471    9           19         5          False   917  0.198109             146
51   136.182748  147.697071  358          136         5          False  1245  0.186163             147
114  109.457865  162.224462  359          113         4          False  1365  0.180501             148
10   117.320948  123.877419  436          135         4          False  1031  0.179723             149
13    90.594264  126.930512  242           72         5          False  1068  0.170317             150
126  117.000416  160.735412  383          161         5          False  1367  0.168235             151
27    93.060029  135.231914    8           37         5          False  1152  0.165174             152
0    136.568164   98.914417  226          115         4          False   825  0.159525             153
4    117.583070  113.749795  206          163         4          False   947  0.158490             154
30   120.874909  136.346748  473          109         5          False  1158  0.150714             155
16   125.974237  126.424928    7           26         5          False  1075  0.146227             156
33   121.521300  140.968283  401          178         5          False  1200  0.143860             157
7    162.450974  115.366918    7           31         4          False   998  0.138767             158
8    117.253145  122.920676  313          131         5          False  1031  0.137804             159
156  134.824469  160.494131  498          162         5          False  1370  0.133188             160
194   71.380353  211.637270    6           28         5          False  1778  0.130941             161
162  138.685587  162.811819  391          137         5          False  1371  0.126745             162
35   128.638002  144.839963  346          170         4          False  1201  0.120307             163
14    99.206802  127.170561  394          151         5          False  1069  0.119484             164
165  104.223430  169.941121  417           80         4          False  1406  0.112288             165
160  133.962252  160.929423  420          165         5          False  1370  0.111182             166
36   126.324887  140.078265  268          173         4          False  1201  0.106245             167
6    124.093807  117.054123  369          174         5          False   990  0.105431             168
186  134.930103  182.605675  450           91         5          False  1538  0.101807             169
21   104.704051  134.527594  352          101         5          False  1112  0.090314             170
22   103.960328  134.452421  246          125         4          False  1112  0.087706             171
120  119.259937  163.804845  277          175         5          False  1367  0.080993             172
189  152.023114  180.804285  384           78         4          False  1542  0.075838             173
84   117.664386  159.710393  307          174         5          False  1325  0.075749             174
193  195.226477  191.874421  320           81         4          False  1635  0.071511             175
181   94.275223  181.970274    8           30         5          False  1530  0.070078             176
54    98.317594  150.809770  495          107         5          False  1279  0.047041             177
179  147.790892  179.971385  325           76         5          False  1499  0.035761             178
163  141.395912  160.933151  483           98         5          False  1372  0.030669             179
12   146.792136  123.524315  384          104         5          False  1037  0.024756             180
182  114.872894  183.283214    5           34         5          False  1534  0.006093             181
1    174.049378  108.748659  384          122         4          False   916  0.004437             182
180  151.081430  178.781351  269           94         4          False  1500 -0.000468             183
18   144.549836  125.656207  276          179         5          False  1078 -0.023163             184
25   136.808336  134.271234  240          119         5          False  1119 -0.062663             185
11   146.653904  122.954721  423          149         4          False  1037 -0.064828             186
191   94.024736  191.634395  250          158         4          False  1614 -0.086036             187
113   91.277975  163.193076  227          167         4          False  1362 -0.107915             188
24   138.131283  131.383702  360          142         4          False  1119 -0.168944             189
53   140.415343  145.446032  258          130         4          False  1246 -0.199886             190
23   135.097192  133.844519  266          176         4          False  1119 -0.320992             191
164  104.541528  167.259032  401          155         5          False  1406 -0.334805             192
187  136.756554  183.609187  431          155         4          False  1539 -0.414837             193
183  112.848817  180.982648  267          115         4          False  1534 -0.437019             194
171  149.019888  166.776119  301          167         4          False  1415 -0.626047             195
 DAY: 2 
              x           y   kg  set_up_time  last_day  yet_postponed  cell     index  customer_label
126  132.148279  155.323880    5           19         5          False  1328  2.129780               1
147  123.747817  163.654625    6           30         5          False  1368  1.877021               2
169  126.875796  166.577294    9           19         5          False  1411  1.811008               3
112  120.630041  158.804954    7           28         5          False  1326  1.741279               4
102  123.053625  156.514941    5           29         5          False  1326  1.733788               5
110  124.163479  157.292374    8           31         5          False  1326  1.718806               6
101  120.748907  155.842543    8           33         5          False  1326  1.703824               7
100  120.817462  159.644226    5           39         5          False  1326  1.658878               8
122  127.672928  157.627807    6           18         5          False  1327  1.657469               9
106  122.123021  159.475723    7           40         5          False  1326  1.651387              10
159  129.092267  160.662725    6           21         5          False  1369  1.646246              11
156  126.303117  161.329053    6           24         5          False  1369  1.619624              12
128  133.653312  155.263503    5           19         6          False  1328  1.597333              13
135  118.914272  164.032351    7           41         5          False  1367  1.538568              14
117  128.280184  157.990139    8           40         5          False  1327  1.492329              15
167  113.004652  167.823483    7           36         5          False  1408  1.490132              16
146  120.881296  164.602265    6           19         6          False  1368  1.479213              17
65   126.547242  154.396764    8           25         5          False  1285  1.464867              18
123  129.686343  159.264379    9           44         5          False  1327  1.462304              19
87   115.792343  157.515741    9           16         5          False  1325  1.458172              20
93   117.782824  157.417741    6           21         5          False  1325  1.425920              21
98   123.804148  155.600839  347           74         5          False  1326  1.396696              22
96   115.063974  155.033342    6           26         5          False  1325  1.393668              23
83   115.744600  158.146881    8           32         5          False  1325  1.354965              24
171  128.399364  169.373850    6           20         6          False  1411  1.345117              25
103  124.581299  158.465275    6           25         6          False  1326  1.322066              26
138  119.196742  162.298668    8           18         6          False  1367  1.294844              27
140  116.577890  162.404163    8           18         6          False  1367  1.294844              28
105  121.156661  159.826924  329           88         5          False  1326  1.291823              29
109  123.959349  156.988216    8           32         6          False  1326  1.282671              30
168  117.296494  167.314049  432           69         5          False  1409  1.258818              31
124  131.846042  157.451440  494           70         6          False  1328  1.256855              32
142  123.032830  164.040193  439          101         5          False  1368  1.247534              33
57   115.755794  153.028177    7           20         5          False  1283  1.235198              34
55   119.333816  151.449160    9           20         5          False  1283  1.235198              35
45   131.637769  147.030705    7           17         5          False  1244  1.215327              36
160  131.492034  163.839303    9           15         6          False  1370  1.211764              37
120  128.644209  155.960227    8           25         6          False  1327  1.202936              38
150  121.605688  164.579570  359          107         5          False  1368  1.194338              39
66   130.257922  152.582839    7           20         6          False  1286  1.173192              40
162  138.769113  160.965085    6           42         5          False  1371  1.170517              41
52   116.517098  150.570453    6           33         5          False  1283  1.168036              42
79   114.508274  158.138870    5           23         5          False  1324  1.159813              43
153  125.053373  162.999238    9           34         6          False  1369  1.145683              44
114  129.417766  157.066890    9           37         6          False  1327  1.135264              45
46   133.968690  148.495142    5           32         5          False  1244  1.130395              46
118  126.257062  155.775809    8           39         6          False  1327  1.123985              47
97   116.286236  156.320131  210           69         5          False  1325  1.116299              48
63   127.128619  151.505821    9           24         6          False  1285  1.102911              49
152  128.577072  163.500920    5           41         6          False  1369  1.098908              50
71   130.731402  151.443150    8           36         6          False  1286  1.093979              51
78   112.661304  157.288889    5           35         5          False  1324  1.091645              52
148  120.512578  164.072205  203          119         5          False  1368  1.087946              53
95   118.891110  156.001720    9           18         6          False  1325  1.081028              54
131  106.681589  160.821778    6           37         5          False  1365  1.075485              55
177  106.673875  173.886984    9           19         6          False  1449  1.065878              56
125  133.972450  155.561725  376          140         5          False  1328  1.052715              57
90   117.775075  156.610622    7           25         6          False  1325  1.046866              58
75   143.407091  152.458956    9           19         5          False  1288  1.015881              59
88   119.033360  158.190479    9           32         6          False  1325  1.012704              60
92   118.749910  159.625244    9           33         6          False  1325  1.007824              61
111  120.815619  159.535395  210          126         5          False  1326  1.007167              62
61   121.828095  152.520760    5           29         6          False  1284  1.000320              63
165   97.268002  168.813293    9           37         5          False  1405  0.968326              64
89   116.249973  155.747245    7           43         6          False  1325  0.959022              65
94   116.588456  158.878630    8           43         6          False  1325  0.959022              66
157  128.347150  163.945893  404           99         5          False  1369  0.954086              67
113  126.313938  158.166139  456           71         6          False  1327  0.943525              68
151  129.938883  163.670559  366          104         5          False  1369  0.909717              69
68   134.310748  151.945125  256           74         6          False  1286  0.905847              70
69   132.777483  152.829881  251           74         6          False  1286  0.905847              71
60   118.303902  152.422488    9           25         6          False  1283  0.905782              72
104  122.166439  156.494833  201          142         5          False  1326  0.887312              73
67   131.412564  150.740622  280           79         6          False  1286  0.881093              74
84   119.708225  155.871155  271           60         6          False  1325  0.876058              75
54   117.804790  151.400841    7           33         6          False  1283  0.874644              76
99   120.102636  156.238609  471          145         5          False  1326  0.864839              77
73   135.656644  150.233085  264           60         6          False  1287  0.850124              78
80   114.272548  155.958752    8           27         6          False  1324  0.844649              79
58   117.996886  153.562707    5           43         6          False  1283  0.835721              80
175  100.438384  173.133828  441           66         5          False  1448  0.813656              81
72   133.345120  150.406507  228           93         6          False  1286  0.811782              82
127  132.093462  156.347964  317          140         6          False  1328  0.789532              83
154  125.605877  162.839823  333          118         5          False  1369  0.785483              84
115  125.522272  156.900729  214          135         5          False  1327  0.779226              85
32   120.139012  143.683022    7           40         5          False  1200  0.771836              86
183  123.840326  170.446204    5           35         6          False  1452  0.771787              87
182  123.076475  171.730902    5           35         6          False  1452  0.771787              88
149  124.284941  162.858247  364          126         6          False  1368  0.765325              89
143  121.287448  161.887274  271          126         6          False  1368  0.765325              90
176  100.006169  172.947696    5           37         6          False  1448  0.760448              91
43   128.426139  149.331208    9           44         6          False  1243  0.748931              92
41   123.188788  147.459755    5           16         6          False  1242  0.743649              93
56   119.576774  150.697479  204           70         6          False  1283  0.730631              94
144  123.199508  162.324617  431          160         5          False  1368  0.724439              95
116  126.216113  156.721038  373          110         6          False  1327  0.723590              96
27   131.299956  138.547613    5           15         5          False  1160  0.714266              97
26   128.244595  135.732293    9           21         5          False  1159  0.709667              98
107  121.192655  155.852587  417          166         5          False  1326  0.707530              99
158  125.239823  163.929958  489          127         5          False  1369  0.705619             100
62   124.282056  152.757713  462          150         5          False  1284  0.702449             101
145  121.365499  163.115154  438          136         6          False  1368  0.698607             102
141  117.798591  162.666047  263          143         5          False  1367  0.687011             103
42   121.701199  148.692942    9           34         6          False  1242  0.680033             104
185  108.507019  177.578692    7           31         5          False  1491  0.676216             105
170  127.190051  169.791334  409          133         5          False  1411  0.650300             106
40   119.197854  149.000566    7           43         6          False  1241  0.646763             107
137  117.262748  163.203635  286          148         5          False  1367  0.645268             108
119  128.300224  156.762745  312          153         5          False  1327  0.644112             109
178  109.668661  170.334424  395          110         5          False  1449  0.640030             110
33   130.591110  141.105330  220           81         6          False  1202  0.621730             111
25   122.728037  138.159509  354           71         5          False  1158  0.603736             112
81   114.725262  157.493434  475          123         5          False  1324  0.591741             113
108  124.924285  157.922408  466          156         6          False  1326  0.584814             114
91   115.812928  157.201422  237          152         5          False  1325  0.580912             115
53   116.314209  150.448495  430          110         6          False  1283  0.574941             116
44   126.505960  149.101521  302           97         6          False  1243  0.560196             117
179  119.559463  173.678491  463           87         6          False  1451  0.551992             118
136  119.053017  163.079560  266          137         6          False  1367  0.544746             119
184  103.928632  177.140934    5           39         5          False  1490  0.543884             120
51   110.128841  153.430157  334          103         5          False  1282  0.539691             121
76   143.624472  154.724680  402           85         5          False  1288  0.539619             122
86   116.820385  158.036513  475          129         6          False  1325  0.539322             123
121  128.852816  158.150324  412          144         6          False  1327  0.531851             124
139  117.342124  164.135414  347          162         5          False  1367  0.528388             125
64   129.530889  150.018194  478          160         6          False  1285  0.523384             126
70   130.841857  153.197491  420          152         6          False  1286  0.519683             127
49    99.891488  154.680549    8           38         5          False  1279  0.509235             128
38   102.569530  145.351388  278           77         5          False  1238  0.496234             129
47   135.305904  146.876713  441           94         6          False  1245  0.476883             130
39   106.160002  149.117325  383           71         5          False  1239  0.466883             131
174   94.448409  173.660091    8           39         6          False  1446  0.463398             132
15   141.505106  128.631008    7           18         5          False  1078  0.454121             133
85   115.545421  156.989910  440          174         5          False  1325  0.439003             134
16   142.396744  128.504115    8           30         5          False  1078  0.414685             135
22   114.992165  136.455239  438           66         5          False  1156  0.391961             136
155  128.125893  160.827770  291          147         6          False  1369  0.390595             137
161  139.126065  162.107671  458          122         5          False  1371  0.387966             138
48   138.822313  146.211296  317          116         6          False  1245  0.386160             139
30   104.216742  143.190098  434          110         5          False  1196  0.382636             140
34   136.649814  144.667111  379          131         6          False  1203  0.374844             141
24   116.407257  137.709216    6           34         6          False  1157  0.361066             142
20   143.068881  131.906640    8           29         6          False  1120  0.358165             143
18   122.574391  130.149465    6           30         5          False  1116  0.356942             144
173  138.337881  168.244115    9           42         6          False  1413  0.356141             145
132  105.030040  162.699500  331          141         5          False  1365  0.346688             146
133  109.890733  163.349129  260          120         6          False  1365  0.341918             147
59   119.567694  150.329486  226          171         6          False  1283  0.337515             148
172  130.847539  166.005477  398          104         5          False  1412  0.318127             149
164   93.577040  167.063017  440           88         6          False  1404  0.306005             150
3    116.567711  111.768298    9           36         5          False   947  0.285973             151
28   134.298656  136.764184  225           89         6          False  1160  0.279637             152
134  113.729788  163.738941  301          167         5          False  1366  0.271346             153
36    97.662666  147.495793  216          105         6          False  1237  0.267256             154
31   113.271792  142.040284  233           87         6          False  1198  0.256125             155
0    154.587237  107.302242    8           37         6          False   912  0.244310             156
8    102.759359  123.064515    5           17         6          False  1028  0.225298             157
2    117.848248  110.268437    5           39         6          False   947  0.212221             158
10   118.907630  128.128775    8           29         6          False  1073  0.211333             159
14   139.108929  126.583180  297          108         5          False  1077  0.210759             160
166  112.926648  165.999243  459          169         6          False  1408  0.208823             161
129  144.439588  155.901278  271           92         6          False  1330  0.204767             162
11   127.119635  125.002097    7           28         5          False  1075  0.198709             163
82   111.041599  157.472326  232          175         6          False  1324  0.198437             164
7     65.313081  124.137123    9           34         6          False  1021  0.189408             165
21    58.002248  137.446881    6           22         6          False  1145  0.184686             166
6    124.210542  118.610247  397          132         5          False   990  0.182734             167
5    116.047846  115.797770  234          137         5          False   989  0.181616             168
74   137.476577  152.072518  405          176         6          False  1287  0.165131             169
12   129.031106  128.491341    8           17         6          False  1075  0.163432             170
130  101.220778  164.012179  239          120         6          False  1364  0.155057             171
9    119.493540  126.070452  376          175         5          False  1073  0.135221             172
17   101.334489  130.662631  451           68         6          False  1112  0.131973             173
193  103.070110  182.634080  380          107         5          False  1532  0.089809             174
4    150.047667  113.889744  440          112         6          False   954  0.089809             175
1    165.780267  107.659909    9           38         5          False   915  0.074153             176
23   114.329605  136.584427  341          176         6          False  1156  0.068705             177
29   135.379365  139.096821  291          179         6          False  1161  0.068204             178
37   101.456979  147.773095  459          176         6          False  1238  0.061126             179
50    95.545531  151.990999  463          155         6          False  1279  0.055945             180
77    90.558844  157.479619  496          175         6          False  1320  0.026811             181
186  117.308440  177.752813  235          122         5          False  1493  0.020634             182
35   142.013640  142.222250  498          155         5          False  1204  0.016195             183
187  120.075423  179.375481  330           81         5          False  1494  0.008390             184
191  158.351226  178.061930    9           21         5          False  1501 -0.042534             185
13   128.665801  125.716578  224          133         5          False  1075 -0.052437             186
19   142.908794  132.967678  214          160         5          False  1120 -0.067203             187
181  122.971826  170.477400  397          164         5          False  1452 -0.190882             188
180  123.636045  171.368633  492          165         6          False  1452 -0.203698             189
192  162.203331  176.565683  264          104         6          False  1502 -0.225185             190
189  127.468609  179.539353  325           89         6          False  1495 -0.254999             191
190  128.185610  176.806818  388          117         5          False  1495 -0.492526             192
163  140.043615  163.496967  357          179         6          False  1372 -0.513824             193
188  127.485751  176.460548  374          125         6          False  1495 -0.523375             194
194  140.438477  187.090865  485          150         5          False  1582 -1.447230             195
 DAY: 3 
              x           y   kg  set_up_time  last_day  yet_postponed  cell     index  customer_label
110  120.225380  159.364751    9           31         6          False  1326  1.869203               1
112  122.221817  156.043761    7           40         6          False  1326  1.801605               2
105  123.743676  158.603534    8           40         6          False  1326  1.801605               3
107  124.630625  155.534488    7           44         6          False  1326  1.771562               4
147  124.175132  162.174138    5           23         6          False  1368  1.656871               5
135  122.834743  162.611603    5           25         6          False  1368  1.639442               6
148  121.114188  160.228653    9           27         6          False  1368  1.622013               7
161  132.644840  163.229716    9           30         6          False  1370  1.608412               8
136  122.422420  163.524919    9           29         6          False  1368  1.604583               9
139  123.539239  163.737881    6           29         6          False  1368  1.604583              10
151  129.227278  162.304615    6           28         6          False  1369  1.579537              11
146  124.028558  164.195834    7           32         6          False  1368  1.578440              12
108  120.971434  156.107096  488           72         6          False  1326  1.561259              13
143  120.740193  161.310936    7           37         6          False  1368  1.534866              14
142  120.638397  161.625576    7           37         6          False  1368  1.534866              15
160  132.190437  163.091665    6           38         6          False  1370  1.530406              16
181  121.042502  173.322112    6           19         6          False  1452  1.507020              17
103  122.972345  158.585550    9           16         7          False  1326  1.486399              18
149  124.551260  164.370910    8           43         6          False  1368  1.482579              19
109  120.797224  155.115769    8           18         7          False  1326  1.475133              20
111  123.498490  157.969094    6           19         7          False  1326  1.469500              21
179  122.502198  170.298362    5           24         6          False  1452  1.456954              22
82   134.137099  151.262452    8           40         6          False  1286  1.437827              23
113  121.692368  157.143589    9           29         7          False  1326  1.413168              24
177  115.639294  173.722085    8           17         6          False  1451  1.412493              25
180  123.734344  172.517897    8           30         6          False  1452  1.396874              26
171  127.777825  168.293334    6           30         7          False  1411  1.382569              27
101  123.274508  157.217551    7           39         7          False  1326  1.356837              28
169  123.223678  165.169202    9           25         7          False  1410  1.331566              29
122  133.902305  159.408782    6           28         7          False  1328  1.310937              30
125  133.805912  159.359368    7           29         7          False  1328  1.304261              31
124  131.612467  157.058428    9           31         7          False  1328  1.290909              32
140  122.035031  164.110762    9           15         7          False  1368  1.290847              33
99   118.789814  156.938811    5           19         6          False  1325  1.281203              34
162  130.599421  163.605173    5           20         7          False  1370  1.276382              35
154  129.321316  160.522746  229           63         6          False  1369  1.267964              36
74   118.490139  153.779564    9           17         6          False  1283  1.245495              37
178  119.240087  170.144402    5           35         6          False  1451  1.241180              38
68   118.768427  151.937309    8           20         6          False  1283  1.229964              39
137  120.126377  162.269388  289           72         6          False  1368  1.229855              40
157  125.840563  160.562596    9           26         7          False  1369  1.196940              41
159  130.456193  164.133816    8           32         7          False  1370  1.188168              42
83   130.235236  150.387263    8           18         7          False  1286  1.187288              43
118  128.373364  158.397049    5           28         7          False  1327  1.186124              44
